Board_State,Optimal_Moves
X  X O  O,6
X  X O   ,6
X   XOOXO,1
X   XOOX ,
X   XOO  ,8
X   XOXOO,2 3
X   XOXO ,
X   XO O ,8
X   XOX O,2
X   XO XO,2
X   XO  O,2
X   XO   ,
X    OXOX,
X    OXO ,3
X    OXXO,2
X    OX O,3
X    OX  ,
X    OOXX,4
X    OOX ,1 4
X    O XO,2
X    O X ,4
X    OO X,4
X    O OX,4
X    O  X,4
X    O   ,2 4 6
XX X  OO ,8
XX  X OO ,8
XX   XOO ,8
XX    OOX,
XX    OO ,2
XX X  O O,7
XX  X O O,7
XX   XO O,7
XX    OXO,
XX    O O,2
XX    O  ,
X XX  OO ,8
X X X OO ,8
X X  XOO ,8
X X   OOX,
X X   OO ,1
X XX  O O,7
X X X O O,7
X X  XO O,7
X X   OXO,1
X X   O O,1
X X   O  ,
X  XX OO ,8
X  X XOO ,8
X  X  OOX,4
X  X  OO ,
X  XX O O,7
X  X XO O,7
X  X  OXO,2
X  X  O O,
X  X  O  ,7 8
X   XXOO ,8
X   X OO ,8
X   XXO O,7
X   X OXO,1
X   X O O,7
X   X O  ,8
X    XOOX,
X    XOO ,8
X    XOXO,1 4
X    XO O,7
X    XO  ,8
X     OXO,1
X     OX ,1 4
X     OOX,4
X     O X,
X     O  ,1 2 8
XX X   OO,6
XX  X  OO,6
XX   X OO,6
XX    XOO,
XX     OO,2
XX     O ,2
X XX   OO,6
X X X  OO,6
X X  X OO,6
X X   XOO,
X X    OO,1
X X    O ,
X  XX  OO,6
X  X X OO,6
X  X   OO,6
X  X   O ,6
X   XX OO,6
X   X XOO,
X   X  OO,6
X   X  O ,
X    XXOO,
X    X OO,6
X    X O ,4
X     XOO,3
X     XO ,
X      OX,4
X      O ,2 4 6
XX      O,2
X X     O,
X  X    O,6
X   X   O,2 6
X    X  O,3 4 6
X     X O,
X      XO,1 2 4
X       O,2 6
X        ,4
OXXOXO OX,6
OXXOXO  X,6
OXXOXO   ,6 7
OXXOXX OO,6
OXXOXX O ,6
OXXOX  OX,6
OXXOX  O ,6
OXXOXX  O,6
OXXOX   O,6 7
OXXOX    ,6
OXXOOXXO ,8
OXXOOXX  ,8
OXXOOX X ,6 8
OXXOOX   ,8
OXXO XXOO,4
OXXO XXO ,
OXXO X O ,8
OXXO XX O,4
OXXO X XO,4 6
OXXO X  O,
OXXO X   ,6
OXXOO XX ,5 8
OXXOO XOX,5
OXXOO X X,5
OXXOO X  ,
OXXO OXXO,4
OXXO OXX ,4
OXXO OXOX,4
OXXO OX X,4
OXXO OX  ,4
OXXO  XOX,
OXXO  XO ,4
OXXO  XXO,4
OXXO  X O,4
OXXO  X  ,4
OXXOO  XX,5 6
OXXOO  X ,
OXXO O XX,4 6
OXXO O X ,4
OXXO   XO,4
OXXO   X ,6
OXXOO   X,5
OXXO O  X,
OXXO   OX,5
OXXO    X,6
OXXO     ,
OXXXOOXO ,8
OXXXOOX  ,8
OXXXOOOX ,8
OXXXOO X ,8
OXXXOOO X,7
OXXXOO OX,6
OXXXOO  X,6 7
OXXXOO   ,8
OXXXOXOO ,8
OXXXOXO  ,8
OXXXO OX ,8
OXXXO OOX,5
OXXXO O X,5
OXXXO O  ,8
OXXXOX O ,8
OXXXO XO ,8
OXXXO  OX,5
OXXXO  O ,8
OXXXO    ,8
OXX OXOX ,3 8
OXX OXO  ,8
OXX OXXO ,8
OXX OX O ,8
OXX OX   ,8
OXX OOXX ,3 8
OXX OOXOX,3
OXX OOX X,3
OXX OOX  ,
OXX O XOX,5
OXX O XO ,8
OXX O X  ,8
OXX OOOXX,3
OXX OO XX,3
OXX OO X ,
OXX O OXX,3
OXX O OX ,
OXX O  X ,8
OXX OO  X,3
OXX O O X,5
OXX O  OX,5
OXX O   X,5
OXX O    ,8
OXXXXOOO ,8
OXXXXOO O,7
OXXXXOO  ,7
OXXX OOXO,4
OXXX OOX ,4
OXXX OOOX,4
OXXX OO X,4 7
OXXX OO  ,4 7 8
OXXXXO OO,6
OXXXXO O ,6
OXXX OXOO,4
OXXX OXO ,4
OXXX O OX,4 6
OXXX O O ,4 6 8
OXXXXO  O,
OXXX OX O,4
OXXX O XO,4
OXXX O  O,4
OXXX O   ,4 6 7
OXX XOOOX,3
OXX XOO X,3
OXX XOO  ,7
OXX XO OX,6
OXX XO O ,6
OXX XO  O,6 7
OXX XO   ,
OXX  OXOX,4
OXX  OXO ,4
OXX  OXXO,4
OXX  OX O,4
OXX  OX  ,4
OXX  OOXX,3
OXX  OOX ,4
OXX  O XO,4
OXX  O X ,4
OXX  OO X,3
OXX  O OX,3 4 6
OXX  O  X,3
OXX  O   ,4
OXXXX OO ,8
OXXX XOO ,8
OXXX  OOX,5
OXXX  OO ,8
OXXXX O O,7
OXXX XO O,4 7
OXXX  OXO,4
OXXX  O O,
OXXX  O  ,8
OXX XXOO ,3 8
OXX X OOX,3
OXX X OO ,
OXX XXO O,3 7
OXX X O O,7
OXX X O  ,3
OXX  XOO ,8
OXX  XOXO,3 4
OXX  XO O,
OXX  XO  ,3
OXX   OXO,4
OXX   OX ,3
OXX   OOX,5
OXX   O X,3
OXX   O  ,
OXXXX  OO,6
OXXX X OO,4 6
OXXX  XOO,4
OXXX   OO,
OXXX   O ,8
OXX XX OO,6
OXX X  OO,6
OXX X  O ,6
OXX  XXOO,4
OXX  X OO,
OXX  X O ,8
OXX   XOO,4
OXX   XO ,4
OXX    OX,5
OXX    O ,6 8
OXXX    O,4
OXX X   O,
OXX  X  O,4
OXX   X O,4
OXX    XO,4
OXX     O,4
OXX      ,3 6
OXOXXOXO ,8
OXOXXOX  ,8
OXOXXOO X,7
OXOXXO OX,6
OXOXXO  X,7
OXOXXO   ,7
OXOXX OOX,5
OXOXX O X,
OXOXX O  ,5 7
OXOXX XOO,5
OXOXX XO ,5
OXOXX  OX,5
OXOXX  O ,5
OXOXX X O,5
OXOXX   O,5 7
OXOXX    ,
OXOXOXXO ,8
OXOXOXX  ,8
OXOXOX X ,6 8
OXOXOX OX,6
OXOXOX  X,6
OXOXOX   ,
OXOX XOXO,4
OXOX XOX ,4
OXOX XOOX,4
OXOX XO X,4
OXOX XO  ,4
OXOX XXOO,4
OXOX XXO ,4
OXOX X OX,4
OXOX X O ,4
OXOX XX O,4
OXOX X XO,4
OXOX X  O,4
OXOX X   ,4
OXOXOOXX ,8
OXOXO XX ,8
OXOXOOX X,7
OXOXO XOX,5
OXOXO X X,7
OXOXO X  ,8
OXOX OXX ,8
OXOX OXOX,4
OXOX OX X,7
OXOX OX  ,8
OXOX  XOX,4 5
OXOX  XO ,4 5 8
OXOX  XXO,4 5
OXOX  X O,
OXOX  X  ,8
OXOXOO XX,6
OXOXO  XX,6
OXOXO  X ,
OXOX OOXX,4
OXOX O XX,
OXOX O X ,4
OXOX  OXX,4
OXOX  OX ,4
OXOX   XO,4
OXOX   X ,4
OXOXO   X,6
OXOX O  X,7
OXOX  O X,4
OXOX   OX,4 5 6
OXOX    X,4 7
OXOX     ,4
OX XOXOX ,2 8
OX XOXOOX,2
OX XOXO X,2
OX XOXO  ,
OX XOXXO ,8
OX XOX OX,2
OX XOX O ,8
OX XOX   ,8
OX XOOXX ,8
OX XOOXOX,2
OX XOOX X,7
OX XOOX  ,8
OX XO XOX,2 5
OX XO XO ,8
OX XO X  ,8
OX XOOOXX,2
OX XOO XX,6
OX XOO X ,8
OX XO OXX,2
OX XO OX ,
OX XO  X ,8
OX XOO  X,2 6 7
OX XO O X,2
OX XO  OX,2 5 6
OX XO   X,2 5 6 7
OX XO    ,8
OX XXOOOX,2
OX XXOO X,7
OX XXOO  ,7
OX XXOXOO,2
OX XXOXO ,2
OX XXO OX,2 6
OX XXO O ,2 6 8
OX XXOX O,2
OX XXO  O,7
OX XXO   ,7
OX X OXOX,2 4
OX X OXO ,2 4 8
OX X OXXO,2 4
OX X OX O,
OX X OX  ,8
OX X OOXX,4
OX X OOX ,4
OX X O XO,4
OX X O X ,4
OX X OO X,2 4 7
OX X O OX,2 4 6
OX X O  X,4 6 7
OX X O   ,2 4 7 8
OX XX OOX,5
OX XX OO ,5
OX XX O O,5 7
OX XX O  ,
OX X XOOX,
OX X XOO ,4
OX X XOXO,4
OX X XO O,4
OX X XO  ,4
OX X  OXO,4
OX X  OX ,4
OX X  OOX,5
OX X  O X,4 5
OX X  O  ,4
OX XX XOO,
OX XX  OO,5
OX XX  O ,5
OX X XXOO,4
OX X X OO,4
OX X X O ,4
OX X  XOO,4
OX X  XO ,2 4 5
OX X   OX,2 4 5
OX X   O ,4 5 6 8
OX XX   O,
OX X X  O,4
OX X  X O,4
OX X   XO,4
OX X    O,4
OX X     ,4 5 7
OXOOXXXO ,8
OXOOXXX O,7
OXOOXXX  ,7
OXOOXX OX,6
OXOOXX  X,6
OXOOXX   ,7
OXO XXOOX,3
OXO XXO X,3
OXO XXO  ,3 7
OXO XXXOO,3
OXO XXXO ,3
OXO XX OX,3
OXO XX O ,3
OXO XXX O,
OXO XX  O,3 7
OXO XX   ,
OXOOXOX X,7
OXOOX XOX,5
OXOOX X X,7
OXOOX X  ,7
OXO XOXOX,3
OXO XOX X,7
OXO XOX  ,7
OXO X XOX,3 5
OXO X XO ,3 5 8
OXO X X O,7
OXO X X  ,7
OXOOX   X,7
OXO XO  X,7
OXO X O X,7
OXO X  OX,3 5 6
OXO X   X,7
OXO X    ,7
OX OXXXOO,2
OX OXXXO ,2
OX OXX OX,6
OX OXX O ,6
OX OXXX O,
OX OXX  O,7
OX OXX   ,6
OX OXOXOX,2
OX OXOX X,
OX OXOX  ,2 7
OX OX XOX,2
OX OX XO ,2
OX OX X O,2 7
OX OX X  ,
OX OXO  X,7
OX OX  OX,6
OX OX   X,6
OX OX    ,7
OX  XOXOX,2
OX  XOXO ,2
OX  XOX O,2 7
OX  XOX  ,
OX  XOO X,7
OX  XO OX,2 3 6
OX  XO  X,7
OX  XO   ,7
OX  XXOOX,3
OX  XXOO ,3
OX  XXO O,3 7
OX  XXO  ,3
OX  X OOX,3
OX  X O X,3
OX  X O  ,7
OX  XXXOO,
OX  XX OO,3
OX  XX O ,3
OX  X XOO,2
OX  X XO ,2
OX  X  OX,2 3 5 6
OX  X  O ,3 5 6 8
OX  XX  O,
OX  X X O,
OX  X   O,7
OX  X    ,7
OXOOOXXX ,8
OXOO XXXO,4
OXOO XXX ,
OXOOOXX X,7
OXOO XXOX,4
OXOO XX X,7
OXOO XX  ,7
OXO OXXX ,8
OXO OXXOX,3
OXO OXX X,7
OXO OXX  ,8
OXO  XXOX,3 4
OXO  XXO ,3 4 8
OXO  XXXO,4
OXO  XX O,4
OXO  XX  ,4 7
OXOOOX XX,6
OXOO X XX,6
OXOO X X ,4
OXO OX XX,6
OXO OX X ,
OXO  XOXX,3 4
OXO  XOX ,4
OXO  X XO,4
OXO  X X ,4
OXOO X  X,6
OXO OX  X,6
OXO  XO X,
OXO  X OX,3 4 6
OXO  X  X,6
OXO  X   ,4
OX OOXXX ,8
OX OOXXOX,2
OX OOXX X,
OX OOXX  ,8
OX O XXOX,2
OX O XXO ,2
OX O XXXO,4
OX O XX O,4
OX O XX  ,
OX OOX XX,6
OX OOX X ,
OX O X XO,4
OX O X X ,6
OX OOX  X,2
OX O X OX,2
OX O X  X,6
OX O X   ,6
OX  OXXOX,2
OX  OXXO ,8
OX  OXX  ,8
OX  OXOXX,2 3
OX  OXOX ,
OX  OX X ,8
OX  OXO X,2
OX  OX OX,2
OX  OX  X,2
OX  OX   ,8
OX   XOXO,4
OX   XOX ,3
OX   XOOX,2
OX   XO X,3
OX   XO  ,
OX   XXOO,4
OX   XXO ,2 4
OX   X OX,2
OX   X O ,3 4 6 8
OX   XX O,4
OX   X XO,4
OX   X  O,4
OX   X   ,6
OXOO  XX ,4 8
OXO O XX ,8
OXO  OXX ,4 8
OXO   XXO,4
OXO   XX ,
OXOO  X X,7
OXO O X X,7
OXO  OX X,7
OXO   XOX,3 4 5
OXO   X X,7
OXO   X  ,7
OX OO XX ,8
OX O OXX ,4 8
OX O  XXO,4
OX O  XX ,
OX OO X X,7
OX O OX X,7
OX O  XOX,2
OX O  X X,
OX O  X  ,4 7
OX  OOXX ,8
OX  O XX ,8
OX  OOX X,7
OX  O XOX,2 3 5
OX  O X X,7
OX  O X  ,8
OX   OXXO,4
OX   OXX ,
OX   OXOX,2 3 4
OX   OX X,7
OX   OX  ,4 7
OX    XOX,2 4 5
OX    XO ,2 3 4 5 8
OX    XXO,4
OX    X O,4
OX    X  ,4 7
OXOO   XX,4 6
OXO O  XX,6
OXO  O XX,4 6
OXO   OXX,4
OXO    XX,
OXO    X ,4
OX OO  XX,6
OX O O XX,4 6
OX O   XX,6
OX O   X ,4
OX  OO XX,6
OX  O OXX,
OX  O  XX,6
OX  O  X ,
OX   OOXX,4
OX   O XX,
OX   O X ,4
OX    OXX,3
OX    OX ,4
OX     XO,4
OX     X ,4
OXO     X,7
OX O    X,6
OX  O   X,2 3 5 6
OX   O  X,7
OX    O X,3
OX     OX,2 3 4 5 6
OX      X,4 6 7
OX       ,3 4 6 8
 XOXOXXOO,0
 XOXOXXO ,0
 XOXOX OX,6
 XOXOX O ,6
 XOXOXX O,0
 XOXOX XO,0 6
 XOXOX  O,
 XOXOX   ,6
 XOXOOXX ,8
 XOXOOXOX,0
 XOXOOX X,
 XOXOOX  ,0
 XOXO XOX,0
 XOXO XO ,0
 XOXO XXO,0 5
 XOXO X O,0
 XOXO X  ,0
 XOXOO XX,6
 XOXOO X ,
 XOXO  XO,
 XOXO  X ,6
 XOXOO  X,6
 XOXO  OX,6
 XOXO   X,6
 XOXO    ,6
 XOXXOOOX,0
 XOXXOO X,
 XOXXOO  ,7
 XOXXOXO ,8
 XOXXO OX,0
 XOXXO O ,8
 XOXXO   ,8
 XOX OXOX,0
 XOX OXO ,0
 XOX OX  ,8
 XOX OOXX,4
 XOX OOX ,4
 XOX O X ,8
 XOX OO X,4
 XOX O OX,0
 XOX O  X,
 XOX O   ,8
 XOXX OOX,
 XOXX OO ,5
 XOXX O O,5 7
 XOXX O  ,
 XOX XOOX,4
 XOX XOO ,4
 XOX XOXO,4
 XOX XO O,4
 XOX XO  ,4
 XOX  OXO,4
 XOX  OX ,4
 XOX  OOX,4
 XOX  O X,4
 XOX  O  ,4
 XOXX XOO,5
 XOXX  OO,5
 XOXX  O ,5
 XOX XXOO,
 XOX X OO,4
 XOX X O ,4
 XOX  XOO,0
 XOX  XO ,0
 XOX   OX,0 4
 XOX   O ,4 5 6 8
 XOXX   O,5
 XOX X  O,4
 XOX  X O,5
 XOX   XO,5
 XOX    O,
 XOX     ,8
 XOOXXOOX,0
 XOOXXO X,0
 XOOXXO  ,7
 XOOXXXOO,0
 XOOXXXO ,0 8
 XOOXX OX,0
 XOOXX O ,0 6 8
 XOOXXX O,7
 XOOXX  O,7
 XOOXX   ,7
 XOOXOXOX,0
 XOOXOX X,
 XOOXOX  ,7
 XOOX XOX,0
 XOOX XO ,0 5 8
 XOOX X O,7
 XOOX X  ,7
 XOOXO  X,0 7
 XOOX O X,0 7
 XOOX  OX,0
 XOOX   X,
 XOOX    ,7
 XO XOXOX,0
 XO XOXO ,8
 XO XOX  ,8
 XO XOO X,0 7
 XO XO OX,0
 XO XO  X,
 XO XO   ,7
 XO XXOOX,
 XO XXOO ,3
 XO XXO O,3 7
 XO XXO  ,
 XO X OOX,0
 XO X O X,
 XO X O  ,7
 XO XXXOO,3
 XO XX OO,3
 XO XX O ,3
 XO X XOO,5
 XO X XO ,0 3 5 8
 XO X  OX,0
 XO X  O ,3 5 6 8
 XO XX  O,
 XO X X O,5
 XO X   O,7
 XO X    ,7
 XOOOXXXO,0
 XOOOXXX ,8
 XOOOXXOX,0
 XOOOXX X,7
 XOOOXX  ,0 7 8
 XOO XXOX,0 4
 XOO XXO ,0 4 8
 XOO XXXO,4
 XOO XX O,0 4 7
 XOO XX  ,4 7 8
 XOOOX XX,6
 XOOOX X ,6
 XOO XOXX,0 4
 XOO XOX ,4
 XOO X XO,4
 XOO X X ,4
 XOOOX  X,6
 XOO XO X,
 XOO X OX,0 4 6
 XOO X  X,6
 XOO X   ,0 4 6 7
 XO OXXOX,0 3
 XO OXXO ,0 3 8
 XO OXXXO,0
 XO OXX O,0
 XO OXX  ,0 3 7 8
 XO OX XO,
 XO OX X ,6
 XO OX OX,6
 XO OX  X,6
 XO OX   ,6
 XO  XOXO,4
 XO  XOX ,4
 XO  XOOX,4
 XO  XO X,4
 XO  XO  ,4
 XO  XXOO,3
 XO  XXO ,0 3 4
 XO  X OX,0 3 4
 XO  X O ,3 4 6 8
 XO  XX O,3 4
 XO  X XO,4
 XO  X  O,4
 XO  X   ,3 4 7
 XOOO XX ,8
 XOO OXX ,4 8
 XOO  XXO,4
 XOO  XX ,
 XOOO X X,7
 XOO OX X,7
 XOO  XOX,0 4 5
 XOO  X X,7
 XOO  X  ,7
 XO OOXX ,8
 XO O XXO,
 XO O XX ,8
 XO OOX X,7
 XO O XOX,0 3 5
 XO O X X,7
 XO O X  ,0 3 5 8
 XO  OXX ,8
 XO  OXOX,0
 XO  OX X,
 XO  OX  ,8
 XO   XOX,0 3 4
 XO   XO ,0 3 4 5 8
 XO   XXO,5
 XO   X O,5
 XO   X  ,4 7 8
 XOOO  XX,6
 XOO O XX,4 6
 XOO  OXX,4
 XOO   XX,
 XOO   X ,4
 XO OO XX,6
 XO O  XX,6
 XO O  X ,
 XO  OOXX,4
 XO  O XX,
 XO  O X ,4
 XO   OXX,4
 XO   OX ,4
 XO    XO,4
 XO    X ,4
 XOO    X,4 7
 XO O   X,6
 XO  O  X,4 7
 XO   O X,4
 XO    OX,0 3 4 5 6
 XO     X,4 7
 XO      ,4 5 6 8
 XXOOXOXO,0
 XXOOXOX ,0
 XXOOXO  ,0 8
 XXOOXXOO,0
 XXOOXXO ,
 XXOOX O ,0 8
 XXOOXX O,0
 XXOOX XO,0
 XXOOX  O,0
 XXOOX   ,
 XXOO XOX,5
 XXOO XO ,0
 XXOO XXO,0 5
 XXOO X O,0
 XXOO X  ,5
 XXOO OXX,0 5
 XXOO OX ,0
 XXOO  XO,0
 XXOO  X ,5
 XXOO O X,0 5
 XXOO  OX,0 5
 XXOO   X,5
 XXOO    ,0
 XXOXOOOX,0
 XXOXOO X,0
 XXOXOO  ,0 7
 XXOXO OX,
 XXOXO O ,0 6
 XXOXO  O,0 6 7
 XXOXO   ,
 XXO OXOX,4
 XXO OXO ,0 4
 XXO OXXO,4
 XXO OX O,0 4
 XXO OX  ,4
 XXO OOXX,0 4
 XXO OOX ,0 4
 XXO O XO,0 4
 XXO O X ,4
 XXO OO X,0
 XXO O OX,0
 XXO O  X,4
 XXO O   ,0
 XXOXXOO ,0 8
 XXOX OOX,0
 XXOX OO ,0
 XXOXXO O,0 7
 XXOX O O,0 7
 XXOX O  ,0
 XXO XOO ,0 8
 XXO XOXO,0
 XXO XO O,0
 XXO XO  ,0
 XXO  OXO,0 4
 XXO  OX ,0
 XXO  OOX,0 5
 XXO  O X,0
 XXO  O  ,0
 XXOXX OO,6
 XXOX  OO,0 6
 XXOX  O ,
 XXO XXOO,
 XXO X OO,0
 XXO X O ,
 XXO  XOO,0 4
 XXO  XO ,
 XXO   OX,
 XXO   O ,0
 XXOX   O,
 XXO X  O,0
 XXO  X O,
 XXO   XO,
 XXO    O,0
 XXO     ,0
 X OXOXOX,
 X OXOXO ,2
 X OXOX O,2 7
 X OXOX  ,
 X OXOO X,0 7
 X OXO OX,0
 X OXO  X,
 X OXO   ,7
 X OXXOOX,0
 X OXXOO ,
 X OXXO O,7
 X OXXO  ,0
 X OX OOX,0
 X OX O X,0
 X OX O  ,7
 X OXXXOO,2
 X OXX OO,6
 X OXX O ,6
 X OX XOO,2
 X OX XO ,2
 X OX  OX,0
 X OX  O ,0 2
 X OXX  O,7
 X OX X O,
 X OX   O,7
 X OX    ,
 X OOXXOX,2
 X OOXXO ,2
 X OOXXXO,0
 X OOXX O,0
 X OOXX  ,2 8
 X OOXOXX,0 2
 X OOXOX ,
 X OOX XO,0
 X OOX X ,0 6
 X OOXO X,2
 X OOX OX,2
 X OOX  X,2
 X OOX   ,2
 X O XOXO,4
 X O XOX ,0
 X O XOOX,2
 X O XO X,0
 X O XO  ,0
 X O XXOO,2
 X O XXO ,2
 X O X OX,2
 X O X O ,2
 X O XX O,2 4
 X O X XO,4
 X O X  O,0 4 6 7
 X O X   ,2 8
 X OO XXO,
 X OO XX ,5
 X OO XOX,5
 X OO X X,5
 X OO X  ,5
 X O OXXO,4
 X O OXX ,4
 X O OXOX,4
 X O OX X,4
 X O OX  ,4
 X O  XOX,2 4
 X O  XO ,2
 X O  XXO,4
 X O  X O,2 4
 X O  X  ,4
 X OO OXX,
 X OO  XX,5
 X OO  X ,
 X O OOXX,4
 X O O XX,4
 X O O X ,4
 X O  OXX,0
 X O  OX ,4
 X O   XO,4
 X O   X ,4
 X OO   X,5
 X O O  X,4
 X O  O X,0
 X O   OX,0 2
 X O    X,4
 X O     ,0 4
 XXXOOOXO,0
 XXXOOOX ,0
 XXXOOOOX,0
 XXXOOO X,0
 XXXOOO  ,0
 XXXOOXOO,0
 XXXOOXO ,0
 XXXOO OX,0
 XXXOO O ,0
 XXXOOX O,0
 XXXOO XO,0
 XXXOO  O,0
 XXXOO   ,0
 XX OOXOX,3
 XX OOXO ,0
 XX OOXXO,0 3
 XX OOX O,0
 XX OOX  ,3
 XX OOOXX,3
 XX OOOX ,0
 XX OO XO,0
 XX OO X ,3
 XX OOO X,0
 XX OO OX,0
 XX OO  X,3
 XX OO   ,0
 XXXOXOO ,8
 XXXO OOX,
 XXXO OO ,0
 XXXOXO O,0 7
 XXXO OXO,0
 XXXO O O,0
 XXXO O  ,0
 XX OXOO ,0 8
 XX OXOXO,0
 XX OXO O,0
 XX OXO  ,
 XX O OXO,0
 XX O OX ,0
 XX O OOX,0 5
 XX O O X,
 XX O O  ,0
 XXXOX OO,0 6
 XXXO XOO,0
 XXXO  OO,0
 XXXO  O ,0
 XX OXXOO,0
 XX OX OO,0
 XX OX O ,
 XX O XOO,0
 XX O XO ,0
 XX O  OX,
 XX O  O ,0
 XXXO   O,0
 XX OX  O,0
 XX O X O,0
 XX O  XO,0
 XX O   O,0
 XX O    ,0
 X XOOXOX,0
 X XOOXO ,0
 X XOOXXO,0 2
 X XOOX O,0
 X XOOX  ,0
 X XOOOXX,2
 X XOOOX ,2
 X XOO XO,
 X XOO X ,2 8
 X XOOO X,2
 X XOO OX,0
 X XOO  X,0 6
 X XOO   ,0
 X XOXOOX,2
 X XOXOO ,
 X XOXOXO,0 2
 X XOXO O,
 X XOXO  ,2
 X XO OXO,
 X XO OX ,2
 X XO OOX,2
 X XO O X,2
 X XO O  ,2
 X XOXXOO,0
 X XOX OO,
 X XOX O ,6 8
 X XO XOO,0
 X XO XO ,0
 X XO  OX,0 2
 X XO  O ,0
 X XOX  O,0
 X XO X O,0
 X XO  XO,0
 X XO   O,0
 X XO    ,0 2 6
 X  OXOXO,
 X  OXOX ,2
 X  OXOOX,2
 X  OXO X,2
 X  OXO  ,2
 X  OXXOO,0
 X  OXXO ,0 2
 X  OX OX,2
 X  OX O ,2
 X  OXX O,0
 X  OX XO,0
 X  OX  O,0
 X  OX   ,0 2 8
 X  OOXXO,
 X  OOXX ,3
 X  OOXOX,3
 X  OOX X,3
 X  OOX  ,3
 X  O XOX,0 2 3 5
 X  O XO ,0
 X  O XXO,0
 X  O X O,0
 X  O X  ,0 2 3 5
 X  OOOXX,
 X  OO XX,3
 X  OO X ,
 X  O OXX,2
 X  O OX ,
 X  O  XO,
 X  O  X ,0 2 3 5 6 8
 X  OO  X,3
 X  O O X,2
 X  O  OX,2
 X  O   X,0 2 3 5
 X  O    ,0 2 3 5 6 8
 XXXXOOO ,8
 XXX OOOX,0
 XXX OOO ,0
 XXXXOO O,7
 XXX OOXO,
 XXX OO O,0
 XXX OO  ,0
 XX XOOOX,0
 XX XOOO ,0
 XX XOO O,0 7
 XX XOO  ,
 XX  OOXO,0 4
 XX  OOX ,
 XX  OOOX,0
 XX  OO X,0
 XX  OO  ,0
 XXXXO OO,6
 XXX OXOO,
 XXX O OO,0
 XXX O O ,0
 XX XO OO,0 6
 XX XO O ,
 XX  OXOO,0 4
 XX  OXO ,
 XX  O OX,0
 XX  O O ,0
 XXX O  O,
 XX XO  O,
 XX  OX O,
 XX  O XO,
 XX  O  O,0
 XX  O   ,
 X XXOOOX,0
 X XXOOO ,8
 X XXOO O,7
 X XXOO  ,7
 X X OOXO,4
 X X OOX ,4
 X X OOOX,0
 X X OO X,0 4
 X X OO  ,2 4 7 8
 X XXOXOO,2
 X XXO OO,
 X XXO O ,8
 X X OXOO,0
 X X OXO ,0
 X X O OX,0
 X X O O ,0
 X XXO  O,2
 X X OX O,2
 X X O XO,2
 X X O  O,2
 X X O   ,0 6
 X  XOOOX,0
 X  XOO X,
 X  XOO  ,7
 X  XOXOO,2
 X  XOXO ,2
 X  XO OX,0
 X  XO O ,0 2
 X  XOX O,2
 X  XO  O,7
 X  XO   ,
 X   OXOX,0 4
 X   OXO ,0 2
 X   OXXO,2
 X   OX O,2
 X   OX  ,4
 X   OOXX,4
 X   OOX ,4
 X   O XO,4
 X   O X ,4
 X   OO X,0 4
 X   O OX,0
 X   O  X,4
 X   O   ,2 4
 XXX  OO ,8
 XX X OO ,8
 XX  XOO ,8
 XX   OOX,
 XX   OO ,0
 XXX  O O,7
 XX X O O,7
 XX  XO O,7
 XX   OXO,
 XX   O O,0
 XX   O  ,0
 X XX OO ,8
 X X XOO ,8
 X X  OOX,
 X X  OO ,8
 X XX O O,7
 X X XO O,7
 X X  OXO,4
 X X  O O,
 X X  O  ,8
 X  XXOO ,8
 X  X OOX,0
 X  X OO ,8
 X  XXO O,7
 X  X O O,7
 X  X O  ,7
 X   XOOX,
 X   XOO ,8
 X   XOXO,4
 X   XO O,
 X   XO  ,0 8
 X    OXO,4
 X    OX ,4
 X    OOX,0 2
 X    O X,0
 X    O  ,0
 XXX   OO,6
 XX X  OO,6
 XX  X OO,6
 XX   XOO,
 XX    OO,0
 XX    O ,0
 X XX  OO,6
 X X X OO,6
 X X  XOO,
 X X   OO,6
 X X   O ,0 2
 X  XX OO,6
 X  X XOO,2
 X  X  OO,6
 X  X  O ,0 2 6 8
 X   XXOO,
 X   X OO,6
 X   X O ,0 2
 X    XOO,0 2
 X    XO ,0 2
 X     OX,0 2
 X     O ,0 2 3 4 5 6 8
 XX     O,
 X X    O,2 6
 X  X   O,7
 X   X  O,6
 X    X O,2
 X     XO,4
 X      O,2
 X       ,0 2 4 7
OOXXXOOX ,8
OOXXXO XO,6
OOXXXO X ,6
OOXXXOO X,7
OOXXXO OX,6
OOXXXO  X,6
OOXXXO   ,6
OOXXX OXO,5
OOXXX OX ,5
OOXXX OOX,5
OOXXX O X,5
OOXXX O  ,5
OOXXX  OX,
OOXXX  O ,5 6
OOXXX  XO,
OOXXX   O,5 6
OOXXX    ,
OOXXOXX  ,7 8
OOXXOXOX ,8
OOXXOX X ,8
OOXXOX   ,8
OOXX XOXO,4
OOXX XOX ,
OOXX XO  ,4 8
OOXX XXOO,4
OOXX XXO ,4
OOXX X O ,4 8
OOXX XX O,4
OOXX X XO,4
OOXX X  O,4
OOXX X   ,
OOXXOOXX ,8
OOXXO XX ,8
OOXXOOX X,7
OOXXO X X,7
OOXXO X  ,
OOXX OXXO,4
OOXX OXX ,
OOXX OXOX,4
OOXX OX X,
OOXX OX  ,4
OOXX  XOX,4
OOXX  XO ,4
OOXX  XXO,4
OOXX  X O,4
OOXX  X  ,4
OOXXOO XX,6
OOXXO OXX,5
OOXXO  XX,
OOXXO  X ,8
OOXX OOXX,4
