Board_State,Optimal_Moves
XOO XX XO,3
XOO XX  O,3
XOO XX   ,
XOOOXOXX ,8
XOOOX XXO,5
XOOOX XX ,8
XOOOX X  ,8
XOO XOXX ,8
XOO XOX  ,3 8
XOO X XO ,3 8
XOO X XXO,5
XOO X X O,3
XOO X X  ,
XOOOX  X ,8
XOO XO X ,8
XOO X OX ,8
XOO X  XO,5
XOO X  X ,8
XOO X    ,8
XO OXXOXO,2
XO OXXOX ,8
XO OXXO  ,8
XO OXXXOO,2
XO OXXXO ,
XO OXX O ,8
XO OXXX O,2
XO OXX XO,2 6
XO OXX  O,2 6 7
XO OXX   ,8
XO OXOXXO,2
XO OXOXX ,
XO OXOX  ,2 8
XO OX XO ,2 8
XO OX XXO,2
XO OX X O,2
XO OX X  ,
XO OXO X ,8
XO OX OX ,8
XO OX  XO,2 5 6
XO OX  X ,8
XO OX    ,8
XO  XOXO ,2 3 8
XO  XOXXO,2
XO  XOX O,2 3
XO  XOX  ,
XO  XOOX ,8
XO  XO XO,2
XO  XO X ,8
XO  XO   ,8
XO  XXOO ,3 8
XO  XXOXO,3
XO  XXO O,3
XO  XXO  ,
XO  X OXO,2 3 5
XO  X OX ,8
XO  X O  ,8
XO  XXXOO,
XO  XX OO,3
XO  XX O ,
XO  X XOO,2 3
XO  X XO ,
XO  X  O ,8
XO  XX  O,3
XO  X X O,
XO  X  XO,2 3 5 6
XO  X   O,3 6
XO  X    ,
XOOOOXXX ,8
XOOO XXXO,4
XOOO XXX ,8
XOOOOXX X,7
XOOO XXOX,4
XOOO XX X,
XOOO XX  ,8
XOO OXXXO,3
XOO OXXX ,
XOO OXX X,7
XOO OXX  ,3
XOO  XXOX,4
XOO  XXO ,3
XOO  XXXO,3
XOO  XX O,3
XOO  XX  ,
XOOOOX XX,6
XOOO XOXX,4
XOOO X XX,
XOOO X X ,8
XOO OX XX,6
XOO OX X ,6
XOO  XOXX,4
XOO  XOX ,4
XOO  X XO,3
XOO  X X ,
XOOO X  X,4
XOO OX  X,
XOO  XO X,4
XOO  X OX,4
XOO  X  X,4
XOO  X   ,3 4
XO OOXXXO,2
XO OOXXX ,8
XO OOXX X,7
XO OOXX  ,7
XO O XXOX,4
XO O XXO ,4
XO O XXXO,2 4
XO O XX O,2 4 7
XO O XX  ,4 8
XO OOXOXX,2
XO OOX XX,
XO OOX X ,8
XO O XOXX,
XO O XOX ,8
XO O X XO,2 4 6
XO O X X ,8
XO OOX  X,2
XO O XO X,2 4
XO O X OX,2 4
XO O X  X,
XO O X   ,8
XO  OXXXO,3
XO  OXX O,3
XO  OXX  ,7
XO  OXOXX,2
XO  OXOX ,2
XO  OX XO,2 3 6
XO  OX X ,6 8
XO  OXO X,2
XO  OX  X,7
XO  OX   ,7
XO   XOXO,2 3 4
XO   XOX ,4 8
XO   XOOX,2 4
XO   XO X,
XO   XO  ,4 8
XO   XXOO,3
XO   XXO ,4
XO   X OX,4
XO   X O ,4
XO   XX O,3
XO   X XO,3 4 6
XO   X  O,3
XO   X   ,4
XOOO  XX ,8
XOO O XX ,3 8
XOO  OXX ,3 8
XOO   XXO,3
XOO   XX ,
XOOO  X X,4 7
XOO O X X,3 7
XOO  OX X,3 4 7
XOO   XOX,3 4
XOO   X X,
XOO   X  ,3
XO OO XX ,8
XO O OXX ,8
XO O  XXO,2 4 5
XO O  XX ,8
XO OO X X,7
XO O OX X,4 7
XO O  XOX,4
XO O  X X,
XO O  X  ,4 8
XO  OOXX ,3 8
XO  O XXO,3
XO  O XX ,
XO  OOX X,3 7
XO  O X X,7
XO  O X  ,3
XO   OXXO,3
XO   OXX ,
XO   OXOX,3 4
XO   OX X,
XO   OX  ,3
XO    XOX,4
XO    XO ,3
XO    XXO,3
XO    X O,3
XO    X  ,
XOOO   XX,4 6
XOO O  XX,6
XOO  O XX,4 6
XOO   OXX,4
XOO    XX,
XOO    X ,6 8
XO OO  XX,6
XO O O XX,4 6
XO O  OXX,4
XO O   XX,
XO O   X ,8
XO  OO XX,6
XO  O OXX,2
XO  O  XX,6
XO  O  X ,6
XO   OOXX,4
XO   O XX,
XO   O X ,6 8
XO    OXX,4
XO    OX ,2 3 4 5 8
XO     XO,2 3 4 5 6
XO     X ,6 8
XOO     X,4
XO O    X,4
XO  O   X,7
XO   O  X,4
XO    O X,4
XO     OX,4
XO      X,4
XO       ,3 4 6
XXOOXOXO ,8
XXOOXOX  ,8
XXOOXO   ,7 8
XXOOXXOO ,8
XXOOXXO O,7
XXOOXXO  ,
XXOOX O  ,7 8
XXOOXX OO,6
XXOOXX O ,8
XXOOX XOO,5
XXOOX XO ,8
XXOOX  O ,8
XXOOXX  O,7
XXOOX X O,5
XXOOX   O,7
XXOOX    ,
XXOOOXXO ,8
XXOOOXX O,7
XXOOOXX  ,7 8
XXOOOX XO,6
XXOOOX X ,6
XXOOOX OX,6
XXOOOX  X,6
XXOOOX   ,6
XXOO XOXO,4
XXOO XOX ,4
XXOO XOOX,4
XXOO XO X,4
XXOO XO  ,4
XXOO XXOO,4
XXOO XXO ,4 8
XXOO X OX,4
XXOO X O ,4 6 8
XXOO XX O,4 7
XXOO X XO,4
XXOO X  O,4 6 7
XXOO X   ,4 7 8
XXOOO XXO,5
XXOOO XX ,5
XXOOO XOX,5
XXOOO X X,5
XXOOO X  ,5
XXOO OXX ,4 8
XXOO OXOX,4
XXOO OX X,4
XXOO OX  ,
XXOO  XOX,4
XXOO  XO ,4 5 8
XXOO  XXO,5
XXOO  X O,5
XXOO  X  ,5
XXOOO  XX,5 6
XXOOO  X ,
XXOO OOXX,4
XXOO O XX,4
XXOO O X ,4
XXOO  OXX,4
XXOO  OX ,4
XXOO   XO,4
XXOO   X ,4
XXOOO   X,
XXOO O  X,4
XXOO  O X,4
XXOO   OX,4
XXOO    X,4
XXOO     ,4
XXOXOO X ,6 8
XXOXOO OX,6
XXOXOO  X,6
XXOXOO   ,6
XXOXOX OO,6
XXOXOX O ,6
XXOXO  OX,6
XXOXO  O ,6
XXOXOX  O,6
XXOXO  XO,5 6
XXOXO   O,6
XXOXO    ,6
XXO OXXOO,3
XXO OXXO ,3
XXO OX OX,6
XXO OX O ,6
XXO OXX O,3
XXO OX XO,6
XXO OX  O,6
XXO OX   ,6
XXO OOXX ,3 8
XXO OOXOX,3
XXO OOX X,3
XXO OOX  ,3
XXO O XOX,3
XXO O XO ,3
XXO O XXO,5
XXO O X O,3
XXO O X  ,3
XXO OO XX,3 6
XXO OO X ,
XXO O  XO,
XXO O  X ,6
XXO OO  X,
XXO O  OX,6
XXO O   X,6
XXO O    ,6
XXOXXOOO ,8
XXOXXOO  ,8
XXOX OOX ,4 8
XXOX OOOX,4
XXOX OO X,4
XXOX OO  ,
XXOXXO O ,8
XXOX O OX,
XXOX O O ,6
XXOX O   ,8
XXO XOO  ,7 8
XXO XOXO ,8
XXO XO O ,8
XXO XO   ,8
XXO  OXOX,
XXO  OXO ,3
XXO  OX  ,8
XXO  OOXX,4
XXO  OOX ,4
XXO  O X ,8
XXO  OO X,4
XXO  O OX,4
XXO  O  X,4
XXO  O   ,
XXOXX OO ,8
XXOX XOO ,4 8
XXOX  OOX,4
XXOX  OO ,
XXOXX O O,5 7
XXOX XO O,4 7
XXOX  OXO,4 5
XXOX  O O,
XXOX  O  ,4
XXO XXOO ,8
XXO X OO ,8
XXO XXO O,7
XXO X O O,7
XXO X O  ,
XXO  XOOX,4
XXO  XOO ,
XXO  XOXO,4
XXO  XO O,
XXO  XO  ,4
XXO   OXO,4
XXO   OX ,4
XXO   OOX,4
XXO   O X,4
XXO   O  ,4
XXOXX  OO,5 6
XXOX X OO,6
XXOX   OO,6
XXOX   O ,6
XXO XX OO,6
XXO X XOO,5
XXO X  OO,
XXO X  O ,8
XXO  XXOO,3
XXO  X OO,6
XXO  X O ,6
XXO   XOO,3
XXO   XO ,3
XXO    OX,4
XXO    O ,6 8
XXOX    O,5
XXO X   O,5
XXO  X  O,6
XXO   X O,5
XXO    XO,5
XXO     O,
XXO      ,5 8
X OXOX OX,1 6
X OXOX O ,6
X OXOX XO,6
X OXOX  O,6
X OXOX   ,6
X OXOO XX,6
X OXOO X ,6
X OXO  XO,6
X OXO  X ,6
X OXOO  X,6
X OXO  OX,6
X OXO   X,6
X OXO    ,6
X OXXOOX ,8
X OXXOO  ,8
X OXXO O ,6 8
X OXXO   ,8
X OX OOXX,4
X OX OOX ,
X OX O X ,8
X OX OO X,4
X OX O OX,4 6
X OX O  X,
X OX O   ,6
X OXX OO ,5 8
X OXX OXO,5
X OXX O O,5
X OXX O  ,
X OX XOOX,4
X OX XOO ,4
X OX XOXO,4
X OX XO O,4
X OX XO  ,4
X OX  OXO,
X OX  OX ,4
X OX  OOX,4
X OX  O X,4
X OX  O  ,4
X OXX  OO,5 6
X OXX  O ,
X OX X OO,4 6
X OX X O ,
X OX   OX,
X OX   O ,6
X OXX   O,5
X OX X  O,
X OX   XO,5
X OX    O,6
X OX     ,
X OOXXOXO,1
X OOXXOX ,
X OOXXO  ,8
X OOXXXOO,1
X OOXXXO ,8
X OOXX O ,8
X OOXXX O,1 7
X OOXX XO,1
X OOXX  O,1 6 7
X OOXX   ,8
X OOXOXX ,8
X OOXOX  ,8
X OOX XO ,8
X OOX XXO,5
X OOX X O,5
X OOX X  ,8
X OOXO X ,1 8
X OOX OX ,1 8
X OOX  XO,1
X OOX  X ,
X OOX    ,8
X O XOXO ,3 8
X O XOX  ,8
X O XOOX ,1 8
X O XO X ,8
X O XO   ,8
X O XXOO ,3 8
X O XXOXO,
X O XXO O,3
X O XXO  ,
X O X OXO,1
X O X OX ,
X O X O  ,8
X O XXXOO,3
X O XX OO,3
X O XX O ,
X O X XOO,3
X O X XO ,
X O X  O ,8
X O XX  O,3
X O X X O,5
X O X  XO,5
X O X   O,5
X O X    ,8
X OOOXXXO,1
X OOOXXX ,8
X OOOXXOX,1
X OOOXX X,7
X OOOXX  ,1 7 8
X OO XXOX,4
X OO XXO ,1 4 8
X OO XXXO,1 4
X OO XX O,1 4 7
X OO XX  ,4 7 8
X OOOX XX,6
X OOOX X ,6
X OO XOXX,4
X OO XOX ,4
X OO X XO,1 4 6
X OO X X ,4 8
X OOOX  X,6
X OO XO X,4
X OO X OX,4
X OO X  X,4
X OO X   ,1 4 6 7 8
X O OXXOX,1
X O OXXO ,3
X O OXXXO,3
X O OXX O,3
X O OXX  ,3
X O OX XO,6
X O OX X ,6
X O OX OX,
X O OX  X,6
X O OX   ,6
X O  XOXO,4
X O  XOX ,4
X O  XOOX,4
X O  XO X,4
X O  XO  ,4
X O  XXOO,3
X O  XXO ,3
X O  X OX,4
X O  X O ,3 4
X O  XX O,3
X O  X XO,3 4
X O  X  O,3
X O  X   ,3 4
X OOO XX ,8
X OO OXX ,8
X OO  XXO,5
X OO  XX ,8
X OOO X X,7
X OO OX X,4 7
X OO  XOX,4
X OO  X X,
X OO  X  ,8
X O OOXX ,3 8
X O O XXO,3
X O O XX ,
X O OOX X,3 7
X O O XOX,3
X O O X X,
