Board_State,Win_Moves,Draw_Moves,Lose_Moves
XOOX OOXX,4,,
XOOX O XX,,,4 6
XOOX O X ,6 8,,4
XOOX  OXX,4,,5
XOOX  OX ,4,,5 8
XOOX   XO,5 6,,4
XOOX   X ,,,4 5 6 8
XOOXO   X,6,,5 7
XOOX O  X,4 6 7,,
XOOX  O X,4,,5 7
XOOX   OX,4 6,,5
XOOX    X,,,4 5 6 7
XOOX     ,4 5 6 7 8,,
XO XOXOXO,,2,
XO XOXOX ,2,8,
XO XOXO X,2 7,,
XO XOXO  ,,,2 7 8
XO XOX XO,,6,2
XO XOX  O,6,7,2
XO XOX   ,6 7,,2 8
XO XOOOXX,,2,
XO XOO XX,,6,2
XO XOO X ,6,2 8,
XO XO OXX,2,5,
XO XO OX ,,2,5 8
XO XO  XO,6,2 5,
XO XO  X ,,6,2 5 8
XO XOO  X,6,7,2
XO XO O X,,,2 5 7
XO XO   X,6 7,,2 5
XO XO    ,6,7,2 5 8
XO XXOOXO,,2,
XO XXOOX ,,8,2
XO XXOO  ,8,2 7,
XO XXO O ,2 6 8,,
XO XXO XO,2,6,
XO XXO  O,6,2,7
XO XXO   ,,,2 6 7 8
XO X OOXX,,4,2
XO X OOX ,,2 4 8,
XO X O XO,6,2,4
XO X O X ,,6,2 4 8
XO X OO X,4,2 7,
XO X O OX,4 6,,2
XO X O  X,,,2 4 6 7
XO X O   ,4 6 8,2 7,
XO XX OO ,5 8,,2
XO XX OXO,,5,2
XO XX O O,5,7,2
XO XX O  ,,,2 5 7 8
XO X XOOX,4,,2
XO X XOO ,4,,2 8
XO X XOXO,,4,2
XO X XO O,4,7,2
XO X XO  ,4,,2 7 8
XO X  OXO,,2 4 5,
XO X  OX ,,4 5 8,2
XO X  OOX,4,,2 5
XO X  O X,4,,2 5 7
XO X  O  ,4,7,2 5 8
XO XX  OO,5 6,,2
XO XX  O ,,,2 5 6 8
XO X X OO,4 6,,2
XO X X O ,4,,2 6 8
XO X   OX,4,,2 5 6
XO X   O ,4 6,,2 5 8
XO XX   O,,,2 5 6 7
XO X X  O,,,2 4 6 7
XO X   XO,,6,2 4 5
XO X    O,4 5 6,2 7,
XO X     ,,,2 4 5 6 7 8
XOOOXXXO ,8,,
XOOOXXX O,,7,
XOOOXXX  ,,8,7
XOOOXXOX ,8,,
XOOOXX XO,,6,
XOOOXX X ,,8,6
XOOOXX   ,8,6 7,
XOO XXOXO,3,,
XOO XXOX ,,,3 8
XOO XXO  ,3 7 8,,
XOO XXXOO,3,,
XOO XXXO ,,,3 8
XOO XX O ,3 6 8,,
XOO XXX O,,3,7
XOO XX XO,,3,6
XOO XX  O,3,6 7,
XOO XX   ,,,3 6 7 8
XOOOXOXX ,8,,
XOOOX XXO,,5,
XOOOX XX ,,8,5
XOOOX X  ,8,5 7,
XOO XOXX ,8,,3
XOO XOX  ,3 8,,7
XOO X XO ,3 5 8,,
XOO X XXO,5,3,
XOO X X O,3,5,7
XOO X X  ,,,3 5 7 8
XOOOX  X ,8,5 6,
XOO XO X ,8,,3 6
XOO X OX ,3 5 8,,
XOO X  XO,,5,3 6
XOO X  X ,,8,3 5 6
XOO X    ,3 5 6 8,7,
XO OXXOXO,,2,
XO OXXOX ,,8,2
XO OXXO  ,8,2 7,
XO OXXXOO,2,,
XO OXXXO ,,,2 8
XO OXX O ,2 6 8,,
XO OXXX O,,2,7
XO OXX XO,,2 6,
XO OXX  O,,2 6 7,
XO OXX   ,,8,2 6 7
XO OXOXXO,2,,
XO OXOXX ,,,2 8
XO OXOX  ,2 7 8,,
XO OX XO ,2 5 8,,
XO OX XXO,,2,5
XO OX X O,2,5 7,
XO OX X  ,,,2 5 7 8
XO OXO X ,2 6 8,,
XO OX OX ,8,2 5,
XO OX  XO,,2 5 6,
XO OX  X ,,8,2 5 6
XO OX    ,2 6 8,5 7,
XO  XOXO ,2 3 8,,
XO  XOXXO,2,,3
XO  XOX O,2 3,,7
XO  XOX  ,,,2 3 7 8
XO  XOOX ,8,2 3,
XO  XO XO,,2,3 6
XO  XO X ,,8,2 3 6
XO  XO   ,2 3 6 8,7,
XO  XXOO ,3 8,,2
XO  XXOXO,,3,2
XO  XXO O,3,7,2
XO  XXO  ,,,2 3 7 8
XO  X OXO,,2 3 5,
XO  X OX ,,8,2 3 5
XO  X O  ,3 5 8,2 7,
XO  XXXOO,,,2 3
XO  XX OO,3 6,,2
XO  XX O ,,,2 3 6 8
XO  X XOO,2 3 5,,
XO  X XO ,,,2 3 5 8
XO  X  O ,2 3 5 6 8,,
XO  XX  O,,3,2 6 7
XO  X X O,,,2 3 5 7
XO  X  XO,,2 3 5 6,
XO  X   O,3 6,2 5 7,
XO  X    ,,,2 3 5 6 7 8
XOOOOXXX ,8,,
XOOO XXXO,,4,
XOOO XXX ,,8,4
XOOOOXX X,7,,
XOOO XXOX,4,,
XOOO XX X,,,4 7
XOOO XX  ,8,4 7,
XOO OXXXO,3,,
XOO OXXX ,,,3 8
XOO OXX X,7,,3
XOO OXX  ,3 7,,8
XOO  XXOX,4,,3
XOO  XXO ,3 4,,8
XOO  XXXO,,3,4
XOO  XX O,3,4 7,
XOO  XX  ,,,3 4 7 8
XOOOOX XX,6,,
XOOO XOXX,4,,
XOOO X XX,,,4 6
XOOO X X ,8,4 6,
XOO OX XX,6,,3
XOO OX X ,6,,3 8
XOO  XOXX,4,,3
XOO  XOX ,4,,3 8
XOO  X XO,3,4 6,
XOO  X X ,,,3 4 6 8
XOOO X  X,4 6 7,,
XOO OX  X,,,3 6 7
XOO  XO X,4,,3 7
XOO  X OX,4,,3 6
XOO  X  X,4,,3 6 7
XOO  X   ,3 4 6 7,,8
XO OOXXXO,,2,
XO OOXXX ,,8,2
XO OOXX X,7,,2
XO OOXX  ,,7,2 8
XO O XXOX,4,,2
XO O XXO ,4,,2 8
XO O XXXO,,2 4,
XO O XX O,,2 4 7,
XO O XX  ,,4 8,2 7
XO OOXOXX,2,,
XO OOX XX,,,2 6
XO OOX X ,8,2 6,
XO O XOXX,,,2 4
XO O XOX ,8,2 4,
XO O X XO,,2 4 6,
XO O X X ,,8,2 4 6
XO OOX  X,2 7,,6
XO O XO X,2 4 7,,
XO O X OX,2 4,,6
XO O X  X,,,2 4 6 7
XO O X   ,8,2 4 6 7,
XO  OXXXO,,3,2
XO  OXX O,3,7,2
XO  OXX  ,7,3,2 8
XO  OXOXX,2,,3
XO  OXOX ,,2,3 8
XO  OX XO,,2 3 6,
XO  OX X ,,6 8,2 3
XO  OXO X,2,,3 7
XO  OX  X,2 7,,3 6
XO  OX   ,,7,2 3 6 8
XO   XOXO,,2 3 4,
XO   XOX ,,4 8,2 3
XO   XOOX,2 4,,3
XO   XO X,,,2 3 4 7
XO   XO  ,4 8,2 7,3
XO   XXOO,3 4,,2
XO   XXO ,4,,2 3 8
XO   X OX,4,,2 3 6
XO   X O ,4,,2 3 6 8
XO   XX O,,3,2 4 7
XO   X XO,,3 4 6,2
XO   X  O,3,4 6 7,2
XO   X   ,,4,2 3 6 7 8
XOOO  XX ,8,4 5,
XOO O XX ,3 5 8,,
XOO  OXX ,3 8,,4
XOO   XXO,3,5,4
XOO   XX ,,,3 4 5 8
XOOO  X X,4 5 7,,
XOO O X X,3 7,,5
XOO  OX X,3 4 7,,
XOO   XOX,3 4,,5
XOO   X X,,,3 4 5 7
XOO   X  ,3 4 5 7 8,,
XO OO XX ,8,5,2
XO O OXX ,4 8,,2
XO O  XXO,,2 4 5,
XO O  XX ,,8,2 4 5
XO OO X X,7,,2 5
XO O OX X,4 7,,2
XO O  XOX,4,,2 5
XO O  X X,,,2 4 5 7
XO O  X  ,4 8,5 7,2
XO  OOXX ,3 8,,2
XO  O XXO,3,2 5,
XO  O XX ,,,2 3 5 8
XO  OOX X,3 7,,2
XO  O X X,7,,2 3 5
XO  O X  ,3 7,,2 5 8
XO   OXXO,2 3,,4
XO   OXX ,,,2 3 4 8
XO   OXOX,3 4,,2
XO   OX X,,,2 3 4 7
XO   OX  ,2 3 4 7 8,,
XO    XOX,4,,2 3 5
XO    XO ,3 4,,2 5 8
XO    XXO,,3,2 4 5
XO    X O,2 3 4,5 7,
XO    X  ,,,2 3 4 5 7 8
XOOO   XX,4 5 6,,
XOO O  XX,6,,3 5
XOO  O XX,3 4 6,,
XOO   OXX,4,,3 5
XOO    XX,,,3 4 5 6
XOO    X ,3 5 6 8,4,
XO OO  XX,5 6,,2
XO O O XX,4 6,,2
XO O  OXX,2 4 5,,
XO O   XX,,,2 4 5 6
XO O   X ,8,2 4 5 6,
XO  OO XX,6,3,2
XO  O OXX,,2,3 5
XO  O  XX,,6,2 3 5
XO  O  X ,6,2 3 5 8,
XO   OOXX,4,2 3,
XO   O XX,,,2 3 4 6
XO   O X ,6 8,2 3 4,
XO    OXX,,4,2 3 5
XO    OX ,,2 3 4 5 8,
XO     XO,,2 3 4 5 6,
XO     X ,,6 8,2 3 4 5
XOO     X,3 4 6 7,,5
XO O    X,2 4 5 6 7,,
XO  O   X,,7,2 3 5 6
XO   O  X,3 4 6 7,,2
XO    O X,2 4 5,7,3
XO     OX,4,,2 3 5 6
XO      X,,4,2 3 5 6 7
XO       ,3 4 6,2 5 7 8,
XXOOXOXO ,8,,
XXOOXOX  ,8,,7
XXOOXO   ,7 8,,6
XXOOXXOO ,8,,
XXOOXXO O,7,,
XXOOXXO  ,,,7 8
XXOOX O  ,5 7 8,,
XXOOXX OO,,6,
XXOOXX O ,,8,6
XXOOX XOO,,5,
XXOOX XO ,,8,5
XXOOX  O ,8,5 6,
XXOOXX  O,,7,6
XXOOX X O,5,7,
XXOOX   O,7,5,6
XXOOX    ,,,5 6 7 8
XXOOOXXO ,,8,
XXOOOXX O,,7,
XXOOOXX  ,,7 8,
XXOOOX XO,,6,
XXOOOX X ,6,8,
XXOOOX OX,,6,
XXOOOX  X,6,7,
XXOOOX   ,,6,7 8
XXOO XOXO,4,,
XXOO XOX ,4,,8
XXOO XOOX,4,,
XXOO XO X,4,,7
XXOO XO  ,4,,7 8
XXOO XXOO,,4,
XXOO XXO ,,4 8,
XXOO X OX,,4,6
XXOO X O ,,4 6 8,
XXOO XX O,,4 7,
XXOO X XO,,4,6
XXOO X  O,,4 6 7,
XXOO X   ,,4 7 8,6
XXOOO XXO,,5,
XXOOO XX ,5,8,
XXOOO XOX,,5,
XXOOO X X,5,7,
XXOOO X  ,,5,7 8
XXOO OXX ,4 8,,
XXOO OXOX,4,,
XXOO OX X,4,,7
XXOO OX  ,,,4 7 8
XXOO  XOX,,4,5
XXOO  XO ,,4 5 8,
XXOO  XXO,5,4,
XXOO  X O,,5,4 7
XXOO  X  ,5,4 7 8,
XXOOO  XX,5 6,,
XXOOO  X ,,,5 6 8
XXOO OOXX,4,,
XXOO O XX,4,,6
XXOO O X ,4,,6 8
XXOO  OXX,4,,5
XXOO  OX ,4,,5 8
XXOO   XO,4,5,6
XXOO   X ,4,,5 6 8
XXOOO   X,,,5 6 7
XXOO O  X,4,,6 7
XXOO  O X,4,,5 7
XXOO   OX,4,5 6,
XXOO    X,4,,5 6 7
XXOO     ,4,5,6 7 8
XXOXOO X ,6 8,,
XXOXOO OX,6,,
XXOXOO  X,6,,7
XXOXOO   ,6,,7 8
XXOXOX OO,6,,
XXOXOX O ,6,,8
XXOXO  OX,6,,5
XXOXO  O ,6,,5 8
XXOXOX  O,6,,7
XXOXO  XO,5 6,,
XXOXO   O,6,,5 7
XXOXO    ,6,,5 7 8
XXO OXXOO,3,,
XXO OXXO ,,3,8
XXO OX OX,6,3,
XXO OX O ,,6,3 8
XXO OXX O,,3,7
XXO OX XO,6,3,
XXO OX  O,,6,3 7
XXO OX   ,6,3 7 8,
XXO OOXX ,3 8,,
XXO OOXOX,3,,
XXO OOX X,3,,7
XXO OOX  ,3,,7 8
XXO O XOX,,3,5
XXO O XO ,3,5 8,
XXO O XXO,5,3,
XXO O X O,3,5,7
XXO O X  ,,3,5 7 8
XXO OO XX,3 6,,
XXO OO X ,,,3 6 8
XXO O  XO,,,3 5 6
XXO O  X ,3 5 6 8,,
XXO OO  X,,,3 6 7
XXO O  OX,,6,3 5
XXO O   X,3 5 6,7,
XXO O    ,,6,3 5 7 8
XXOXXOOO ,8,,
XXOXXOO  ,8,,7
XXOX OOX ,4 8,,
XXOX OOOX,4,,
XXOX OO X,4,,7
XXOX OO  ,,,4 7 8
XXOXXO O ,8,,6
XXOX O OX,,,4 6
XXOX O O ,6 8,,4
XXOX O   ,6 8,,4 7
XXO XOO  ,7 8,,3
XXO XOXO ,8,,3
XXO XO O ,8,,3 6
XXO XO   ,8,,3 6 7
XXO  OXOX,,,3 4
XXO  OXO ,3 8,,4
XXO  OX  ,3 8,,4 7
XXO  OOXX,4,,3
XXO  OOX ,4,,3 8
XXO  O X ,4 8,,3 6
XXO  OO X,4,,3 7
XXO  O OX,3 4 6,,
XXO  O  X,4,,3 6 7
XXO  O   ,,,3 4 6 7 8
XXOXX OO ,8,,5
XXOX XOO ,4 8,,
XXOX  OOX,4,,5
XXOX  OO ,,,4 5 8
XXOXX O O,5 7,,
XXOX XO O,4 7,,
XXOX  OXO,4 5,,
XXOX  O O,,,4 5 7
XXOX  O  ,4 5 7 8,,
XXO XXOO ,8,,3
XXO X OO ,8,,3 5
XXO XXO O,7,,3
XXO X O O,7,,3 5
XXO X O  ,,,3 5 7 8
XXO  XOOX,4,,3
XXO  XOO ,,,3 4 8
XXO  XOXO,4,,3
XXO  XO O,,,3 4 7
XXO  XO  ,4 7 8,,3
XXO   OXO,4,,3 5
XXO   OX ,4,,3 5 8
XXO   OOX,4,,3 5
XXO   O X,4,,3 5 7
XXO   O  ,4,,3 5 7 8
XXOXX  OO,5 6,,
XXOX X OO,6,,4
XXOX   OO,6,,4 5
XXOX   O ,6,,4 5 8
XXO XX OO,6,3,
XXO X XOO,5,3,
XXO X  OO,,,3 5 6
XXO X  O ,8,,3 5 6
XXO  XXOO,,3,4
XXO  X OO,,6,3 4
XXO  X O ,6,3 4 8,
XXO   XOO,3,5,4
XXO   XO ,,3,4 5 8
XXO    OX,,4,3 5 6
XXO    O ,,6 8,3 4 5
XXOX    O,5 6,,4 7
XXO X   O,5 7,,3 6
XXO  X  O,6,3 4 7,
XXO   X O,5,3,4 7
XXO    XO,4 5,,3 6
XXO     O,,,3 4 5 6 7
XXO      ,5 8,4 7,3 6
X OXOX OX,1 6,,
X OXOX O ,6,,1 8
X OXOX XO,6,,1
X OXOX  O,6,,1 7
X OXOX   ,6,,1 7 8
X OXOO XX,6,,1
X OXOO X ,6,,1 8
X OXO  XO,6,,1 5
X OXO  X ,6,,1 5 8
X OXOO  X,6,,1 7
X OXO  OX,6,,1 5
X OXO   X,6,,1 5 7
X OXO    ,6,,1 5 7 8
X OXXOOX ,8,,1
X OXXOO  ,8,,1 7
X OXXO O ,6 8,,1
X OXXO   ,8,,1 6 7
X OX OOXX,4,,1
X OX OOX ,,,1 4 8
X OX O X ,6 8,,1 4
X OX OO X,4,,1 7
X OX O OX,1 4 6,,
X OX O  X,,,1 4 6 7
X OX O   ,6 8,,1 4 7
X OXX OO ,5 8,,1
X OXX OXO,5,,1
X OXX O O,5,,1 7
X OXX O  ,,,1 5 7 8
X OX XOOX,4,,1
X OX XOO ,4,,1 8
X OX XOXO,4,,1
X OX XO O,4,,1 7
X OX XO  ,4,,1 7 8
X OX  OXO,,,1 4 5
X OX  OX ,4 5 8,,1
X OX  OOX,4,,1 5
X OX  O X,4,,1 5 7
X OX  O  ,4,,1 5 7 8
X OXX  OO,5 6,,1
X OXX  O ,,,1 5 6 8
X OX X OO,4 6,,1
X OX X O ,,,1 4 6 8
X OX   OX,,,1 4 5 6
X OX   O ,4 5 6 8,,1
X OXX   O,5,,1 6 7
X OX X  O,,,1 4 6 7
X OX   XO,5 6,,1 4
X OX    O,5 6,,1 4 7
X OX     ,,,1 4 5 6 7 8
X OOXXOXO,1,,
X OOXXOX ,,,1 8
X OOXXO  ,1 7 8,,
X OOXXXOO,,1,
X OOXXXO ,,8,1
X OOXX O ,8,1 6,
X OOXXX O,,1 7,
X OOXX XO,,1,6
X OOXX  O,,1 6 7,
X OOXX   ,,8,1 6 7
X OOXOXX ,8,,1
X OOXOX  ,8,,1 7
X OOX XO ,8,1 5,
X OOX XXO,5,1,
X OOX X O,,5,1 7
X OOX X  ,,8,1 5 7
X OOXO X ,1 8,,6
X OOX OX ,1 5 8,,
X OOX  XO,1,5,6
X OOX  X ,,,1 5 6 8
X OOX    ,1 7 8,5 6,
X O XOXO ,3 8,,1
X O XOX  ,8,,1 3 7
X O XOOX ,1 8,,3
X O XO X ,8,,1 3 6
X O XO   ,8,,1 3 6 7
X O XXOO ,3 8,,1
X O XXOXO,,,1 3
X O XXO O,3 7,,1
X O XXO  ,,,1 3 7 8
X O X OXO,1 5,,3
X O X OX ,,,1 3 5 8
X O X O  ,1 3 5 7 8,,
X O XXXOO,,3,1
X O XX OO,3,6,1
X O XX O ,,,1 3 6 8
X O X XOO,3,5,1
X O X XO ,,,1 3 5 8
X O X  O ,3 5 6 8,,1
X O XX  O,,3,1 6 7
X O X X O,5,3,1 7
X O X  XO,5,1,3 6
X O X   O,,5,1 3 6 7
X O X    ,,8,1 3 5 6 7
X OOOXXXO,,1,
X OOOXXX ,,8,1
X OOOXXOX,,1,
X OOOXX X,,7,1
X OOOXX  ,,1 7 8,
X OO XXOX,,4,1
X OO XXO ,,1 4 8,
X OO XXXO,,1 4,
X OO XX O,,1 4 7,
X OO XX  ,,4 7 8,1
X OOOX XX,6,,1
X OOOX X ,,6,1 8
X OO XOXX,4,,1
X OO XOX ,4,,1 8
X OO X XO,,1 4 6,
X OO X X ,,4 8,1 6
X OOOX  X,,6,1 7
X OO XO X,4,,1 7
X OO X OX,4,1 6,
X OO X  X,,4,1 6 7
X OO X   ,,1 4 6 7 8,
X O OXXOX,1,3,
X O OXXO ,3,1,8
X O OXXXO,,3,1
X O OXX O,3,1 7,
X O OXX  ,,3,1 7 8
X O OX XO,,6,1 3
X O OX X ,6,3 8,1
X O OX OX,,,1 3 6
X O OX  X,1 6 7,3,
X O OX   ,,6,1 3 7 8
X O  XOXO,4,,1 3
X O  XOX ,4,,1 3 8
X O  XOOX,4,,1 3
X O  XO X,4,,1 3 7
X O  XO  ,4,,1 3 7 8
X O  XXOO,3,1 4,
X O  XXO ,,3,1 4 8
X O  X OX,4,,1 3 6
X O  X O ,3 4,6,1 8
X O  XX O,,3,1 4 7
X O  X XO,,3 4,1 6
X O  X  O,3,4 6 7,1
X O  X   ,,3 4,1 6 7 8
X OOO XX ,8,5,1
X OO OXX ,8,,1 4
X OO  XXO,,5,1 4
X OO  XX ,,8,1 4 5
X OOO X X,7,5,1
X OO OX X,4 7,,1
X OO  XOX,4,1 5,
X OO  X X,,,1 4 5 7
X OO  X  ,8,4 5 7,1
X O OOXX ,3 8,,1
X O O XXO,3,5,1
X O O XX ,,,1 3 5 8
X O OOX X,3 7,,1
X O O XOX,3,1,5
X O O X X,,,1 3 5 7
X O O X  ,3 7 8,1 5,
X O  OXX ,8,,1 3 4
X O  OXOX,1 3 4,,
X O  OX X,,,1 3 4 7
X O  OX  ,3 8,,1 4 7
X O   XOX,,,1 3 4 5
X O   XO ,3 4 8,1 5,
X O   XXO,5,3,1 4
X O   X O,3,5,1 4 7
X O   X  ,,,1 3 4 5 7 8
X OOO  XX,6,,1 5
X OO O XX,4 6,,1
X OO  OXX,4,,1 5
X OO   XX,,,1 4 5 6
X OO   X ,4 8,5 6,1
X O OO XX,6,,1 3
X O O  XX,6,,1 3 5
X O O  X ,6,,1 3 5 8
X O  OOXX,4,,1 3
X O  O XX,,,1 3 4 6
X O  O X ,8,,1 3 4 6
